Disease,Diet,Diet_Hindi
Fungal infection,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']","['एंटिफंगल आहार', 'प्रोबायोटिक्स', 'लहसुन', 'नारियल तेल', 'हल्दी']"
Allergy,"['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['एलिमिनेशन डाइट', 'ओमेगा-3 से भरपूर भोजन', 'विटामिन C से भरपूर भोजन', 'क्वेरसेटिन से भरपूर भोजन', 'प्रोबायोटिक्स']"
GERD,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['कम अम्ल वाला आहार', 'फाइबर से भरपूर भोजन', 'अदरक', 'मुलेठी', 'एलोवेरा जूस']"
Chronic cholestasis,"['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']","['लो-फैट डाइट', 'हाई-फाइबर डाइट', 'कम वसा वाला प्रोटीन', 'साबुत अनाज', 'ताजे फल और सब्ज़ियाँ']"
Drug Reaction,"['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']","['एंटीहिस्टामिन डाइट', 'ओमेगा-3 से भरपूर भोजन', 'विटामिन C से भरपूर भोजन', 'क्वेरसेटिन से भरपूर भोजन', 'प्रोबायोटिक्स']"
Peptic ulcer disease,"['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']","['कम अम्ल वाला आहार', 'फाइबर से भरपूर भोजन', 'अदरक', 'मुलेठी', 'एलोवेरा जूस']"
AIDS,"['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['संतुलित आहार', 'प्रोटीन से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'स्वस्थ वसा']"
Diabetes,"['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['लो-ग्लाइसेमिक डाइट', 'फाइबर से भरपूर भोजन', 'कम वसा वाला प्रोटीन', 'स्वस्थ वसा', 'लो-फैट डेयरी']"
Gastroenteritis,"['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['सादा भोजन', 'केला', 'चावल', 'सेब की चटनी', 'टोस्ट']"
Bronchial Asthma,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['एंटी-इंफ्लेमेटरी डाइट', 'ओमेगा-3 से भरपूर भोजन', 'फल और सब्ज़ियाँ', 'साबुत अनाज', 'कम वसा वाला प्रोटीन']"
