Unnamed: 0,Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution1_Hindi,Precaution2_Hindi,Precaution3_Hindi,Precaution4_Hindi
0,Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,जलन को रोकें,नजदीकी अस्पताल से संपर्क करें,दवा लेना बंद करें,फॉलो अप करें
1,Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,नजदीकी अस्पताल से संपर्क करें,तेलिय भोजन से बचें,नॉन वेज भोजन से परहेज़ करें,मच्छरों से बचें
2,Allergy,apply calamine,cover area with bandage,,use ice to compress itching,कैलामाइन लगाएं,क्षेत्र को पट्टी से ढकें,कोई उपाय नहीं,खुजली पर बर्फ लगाएँ
3,Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,तनाव कम करें,व्यायाम करें,स्वस्थ भोजन करें,अच्छी नींद लें
4,Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,गर्म साबुन वाले पानी से हाथ धोएं,दबाव डालकर खून रोकें,डॉक्टर से परामर्श करें,नमक वाले स्नान करें
5,GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,तेल-मसालेदार भोजन से बचें,खाने के बाद लेटने से बचें,स्वस्थ वजन बनाए रखें,व्यायाम करें
6,Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,ठंडे पानी से नहाएं,खुजली-रोधी दवा लें,डॉक्टर से परामर्श करें,स्वस्थ भोजन करें
7,hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,नजदीकी अस्पताल से संपर्क करें,हाथ अच्छे से धोएं,तेलिय और मसालेदार भोजन से बचें,दवा लें
8,Osteoarthristis,acetaminophen,consult nearest hospital,follow up,salt baths,एसिटामिनोफेन लें,नजदीकी अस्पताल से संपर्क करें,फॉलो अप करें,नमक वाले स्नान करें
9,(vertigo) Paroymsal  Positional Vertigo,lie down,avoid sudden change in body,avoid abrupt head movment,relax,लेट जाएं,शरीर में अचानक बदलाव से बचें,अचानक सिर की हरकत से बचें,आराम करें
10,Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor,बगल करवट लेटें,नाड़ी जाँच करें,मीठे पेय पिएं,डॉक्टर से सलाह लें
11,Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,दिन में दो बार स्नान करें,मसालेदार और चिकना भोजन न खाएं,पानी खूब पिएं,बहुत सारे उत्पादों से बचें
12,Diabetes ,have balanced diet,exercise,consult doctor,follow up,संतुलित आहार लें,व्यायाम करें,डॉक्टर से परामर्श करें,फॉलो अप करें
13,Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,गर्म पानी में प्रभावित जगह भिगोएं,एंटीबायोटिक दवा लें,गीले कपड़े से पपड़ी हटाएं,डॉक्टर से सलाह लें
14,Hypertension ,meditation,salt baths,reduce stress,get proper sleep,ध्यान करें,नमक वाले पानी से स्नान करें,तनाव कम करें,अच्छी नींद लें
15,Peptic ulcer diseae,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,तेल-मसालेदार भोजन से बचें,प्रोबायोटिक खाद्य पदार्थ खाएं,दूध का सेवन बंद करें,शराब सीमित करें
16,Dimorphic hemmorhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with epsom salt,consume alovera juice,तेल-मसालेदार भोजन से बचें,विच हेज़ल का उपयोग करें,गर्म पानी और एप्सम साल्ट से स्नान करें,एलोवेरा का रस पिएँ
